county_name,county_pop2000,statename,stateabbrv,racial_segregation,inequality,poverty_rate,top_1per_income_share,frac_middleclass,unemp_rate,pop_change_80_2000,migration_inflow,migration_outflow,mean_household_income,median_house_value,percent_college_degree,crime_rate
Woodbury,103877,Iowa,IA,0.1699346,0.4083303,0.1030254,0.10997,0.57573,0.031368,0.0296677,0.018704814,0.029717839,35904.88,101841.2,18.9,0.0161633
Worth,7909,Iowa,IA,0.0096081,0.2831039,0.0834299,0.10861,0.73602,0.0330275,-0.1284848,0.030977368,0.020862309,34331.06,74514.7,12.7,0.0029081
Wright,14334,Iowa,IA,0.0379841,0.2728014,0.0704648,0.04286,0.66948,0.0330578,-0.1216374,0.012557556,0.017301521,37822.31,69982.5,13.5,0.0013255
Allen,14385,Kansas,KS,0.032175,0.3495352,0.1487034,0.10248,0.63725,0.0611855,-0.0810655,0.011331248,0.019812305,30789.33,54519.7,15.2,0.0042405
Anderson,8110,Kansas,KS,0.0014055,0.2731601,0.1276489,0.04899,0.65829,0.0528881,-0.0730369,0.023674476,0.02108508,33751.13,65716.9,11.7,0.0024661
Atchison,16774,Kansas,KS,0.0366868,0.3541907,0.1327512,0.12493,0.66035,0.0515464,-0.0882209,0.019077143,0.025217599,29586.84,75314.5,18,0.0064982
Barber,5307,Kansas,KS,0.0133849,0.2303684,0.1008789,0.03916,0.71852,0.0341176,-0.1895235,0.004710759,0.007537215,35011.36,43989,21,0.0007537
Barton,28205,Kansas,KS,0.0904111,0.2969621,0.1290982,0.06179,0.66853,0.0325272,-0.100118,0.015635526,0.015954618,33244.92,73981.5,16.6,0.0038646
Bourbon,15379,Kansas,KS,0.0308653,0.352361,0.1354899,0.0569,0.5861,0.0387693,-0.0369466,0.013524937,0.014370245,32681.36,61584.6,17.8,0.0038364
Brown,10724,Kansas,KS,0.0427916,0.301386,0.1291091,0.0614,0.65253,0.0548024,-0.1029695,0.013427825,0.024804178,31287.55,67716.4,19,0.0029859
Butler,59482,Kansas,KS,0.0352305,0.2807341,0.0731341,0.08759,0.57736,0.039978,0.3282569,0.038011499,0.031202717,38080.25,111838.7,20.4,0.0045896
Chase,3030,Kansas,KS,0,0.2859637,0.0857143,0.06563,0.67213,0.0375796,-0.0843155,0.01650165,0.007260726,34115.45,53053.4,19.6,0.0026403
Chautauqua,4359,Kansas,KS,0,0.4668799,0.1221083,0.18701,0.52096,0.0503408,-0.1309809,0.015599908,0.019499885,34174.46,34924.6,12.3,0.0034412
Cherokee,22605,Kansas,KS,0.0180644,0.4626,0.1433473,0.204,0.59934,0.057649,0.0134953,0.021366954,0.025967706,28373.66,62517.7,11.3,0.0030967
Cheyenne,3165,Kansas,KS,0,0.2827159,0.0944247,0.05641,0.61832,0.0303831,-0.139478,,,40369.51,64650.5,16,0.0018957
Clark,2390,Kansas,KS,0,0.3299843,0.1265498,0.06157,0.62963,0.0262712,-0.0804155,0.028033473,0.016736402,37627.2,56785.8,22.1,0.0012552
Clay,8822,Kansas,KS,0.0004043,0.3710055,0.1014747,0.07145,0.64778,0.0414818,-0.0999796,0.019156654,0.016096123,36973.9,70515.7,16.5,0.001927
Cloud,10268,Kansas,KS,0.0182505,0.365946,0.1075969,0.1274,0.68471,0.0369806,-0.1781655,0.013926763,0.011784184,35664.64,56519.2,18,0.0032139
Coffey,8865,Kansas,KS,0.0077726,0.2633335,0.0660757,0.03665,0.61211,0.0517612,-0.0538954,0.01105471,0.016469261,36117.96,80913.1,20.1,0.0025945
Comanche,1967,Kansas,KS,0,,0.1018767,,0.77778,0.0265748,-0.2298356,,,37696.18,39590.1,15.1,0.0035587
Cowley,36291,Kansas,KS,0.0368893,0.3333423,0.1293101,0.10877,0.65587,0.0426158,-0.0144743,0.017414786,0.022677799,33575.15,72115.3,18.3,0.0051803
Crawford,38242,Kansas,KS,0.0475325,0.3542087,0.1595386,0.07313,0.59701,0.051108,0.008598,0.022383767,0.027142932,29099.2,71982,23.9,0.0027718
Decatur,3472,Kansas,KS,0.0043971,0.2661242,0.1160338,0.04758,0.6625,0.0285714,-0.2299845,,,35396.56,58118.8,15.4,0.0017281
